おおきなおむすびだし香るきのこ炊き込みご飯,198円（税込213.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/044395/DFDA39D9F66E9B457B8E7FC9218086C3.jpg,https://www.sej.co.jp/products/a/item/044395/,236kcal,5.0g,1.8g,51.3g,48.5g,2.8g,2.6g
静岡限定ジューシーいなり３個入,298円（税込321.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047562/FF655774A4F81557CC238FF56EC8C3F5.jpg,https://www.sej.co.jp/products/a/item/047562/,308kcal,9.4g,9.3g,47.9g,45.6g,2.3g,1.9g
具たっぷり細巻寿司和風ツナマヨネーズ,258円（税込278.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047767/2FB2029838934A0916B79A223B37F32E.jpg,https://www.sej.co.jp/products/a/item/047767/,252kcal,4.5g,10.6g,35.6g,33.8g,1.8g,1.5g
香り箱の寿司,190円（税込205.20円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046758/EC4AA101051EB09B4BA7929DAFD85EA5.jpg,https://www.sej.co.jp/products/a/item/046758/,192kcal,5.3g,4.6g,32.9g,31.8g,1.1g,1.7g
手巻寿司海老マヨネーズ巻,208円（税込224.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047882/2207BED299F21321B034DBDAD6B7A525.jpg,https://www.sej.co.jp/products/a/item/047882/,222kcal,4.3g,8.2g,33.5g,32.0g,1.5g,1.8g
手巻寿司納豆巻,188円（税込203.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047652/6CF6E1E87DCC4EC6F436D40E245344AD.jpg,https://www.sej.co.jp/products/a/item/047652/,177kcal,5.0g,2.0g,36.1g,33.3g,2.8g,1.8g
いなり３個入り,280円（税込302.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047592/27723C42704B5BB095C2417B4FF3840C.jpg,https://www.sej.co.jp/products/a/item/047592/,204kcal,6.3g,4.2g,36.0g,34.7g,1.3g,1.2g
寿司おむすびカリカリ梅たくあん（Ｌ）,168円（税込181.44円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047807/D9DD44E3B5936C4C3CCDC162A947F3E6.jpg,https://www.sej.co.jp/products/a/item/047807/,193kcal,2.8g,0.9g,44.5g,42.5g,2.0g,2.7g
ふっくらお揚げのいなり３個入り,258円（税込278.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047612/A3C76D75BBACD5F8BBF1872FAED6EF00.jpg,https://www.sej.co.jp/products/a/item/047612/,279kcal,8.6g,6.9g,47.5g,43.9g,3.6g,1.7g
サラダ巻５巻,458円（税込494.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047611/9E4CF5EF9063A6E3D10F770058CE92DA.jpg,https://www.sej.co.jp/products/a/item/047611/,432kcal,10.2g,10.6g,75.8g,72.0g,3.8g,3.9g
香り箱の寿司,210円（税込226.80円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047808/6307902C77A8E54DE861ED35DED9FFE4.jpg,https://www.sej.co.jp/products/a/item/047808/,206kcal,5.8g,3.9g,37.4g,36.3g,1.1g,2.6g
サラダ巻５巻,458円（税込494.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047066/7B447236BFED6116877984487B087D1A.jpg,https://www.sej.co.jp/products/a/item/047066/,389kcal,8.9g,9.4g,68.9g,65.6g,3.3g,3.4g
豚焼肉唐辛子マヨネーズ巻５巻,398円（税込429.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047737/BF9471A813D4A275A0F0F51CBB2F3917.jpg,https://www.sej.co.jp/products/a/item/047737/,528kcal,12.2g,19.3g,78.0g,74.5g,3.5g,4.6g
とんかつ巻５巻,450円（税込486円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/044448/7B1C7CEBDF556C19488AB74D708E9214.jpg,https://www.sej.co.jp/products/a/item/044448/,650kcal,14.7g,26.3g,90.6g,86.6g,4.0g,4.3g
寿司おむすび海鮮サラダ,198円（税込213.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047774/9F31D247B70A4D84ED18DA3B06A92CA3.jpg,https://www.sej.co.jp/products/a/item/047774/,266kcal,6.8g,9.9g,38.0g,36.7g,1.3g,2.3g
鶏そぼろいなり,178円（税込192.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/044389/AE924E72961D8830BF1DD08722B2C1CA.jpg,https://www.sej.co.jp/products/a/item/044389/,214kcal,8.1g,5.6g,33.2g,32.2g,1.0g,1.8g
具たっぷり細巻寿司ひきわり納豆,258円（税込278.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047765/06484773B0FE86818DDCB35E1BE4741A.jpg,https://www.sej.co.jp/products/a/item/047765/,201kcal,6.9g,2.6g,39.1g,36.0g,3.1g,1.7g
ふっくらお揚げのいなり３個入り,278円（税込300.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047698/9D2F9154DB6A26EC4ECBE20229D8577F.jpg,https://www.sej.co.jp/products/a/item/047698/,196kcal,5.3g,4.2g,34.9g,33.8g,1.1g,1.2g
いなり３個入り,310円（税込334.80円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047576/65D5DD646C960E08CA78E103ED6FCFFC.jpg,https://www.sej.co.jp/products/a/item/047576/,294kcal,9.2g,6.9g,49.7g,47.6g,2.1g,1.7g
チキンたれかつ弁当,530円（税込572.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/044549/AACC6957CDBA13242A8659BB6F44C60A.jpg,https://www.sej.co.jp/products/a/item/044549/,899kcal,25.2g,39.5g,110.8g,110.4g,0.4g,5.9g
東海限定特製天津飯,498円（税込537.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047297/96CE3E283013DAB4E46B191EAC3916CA.jpg,https://www.sej.co.jp/products/a/item/047297/,592kcal,19.2g,18.6g,87.6g,86.5g,1.1g,5.7g
埼玉ゆかりの味かてめし（混ぜご飯）,238円（税込257.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/041666/CC286D2329EFBCED519DE9DF02D0CB2B.jpg,https://www.sej.co.jp/products/a/item/041666/,324kcal,5.1g,1.5g,74.1g,70.5g,3.6g,2.9g
秋の味覚北海道産秋鮭ほぐしのおだしごはん,430円（税込464.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/044392/4F37681AF217B35DC64B971660EE3927.jpg,https://www.sej.co.jp/products/a/item/044392/,401kcal,13.4g,9.0g,67.7g,65.4g,2.3g,2.2g
香味だれで食べる揚げナスと豚しゃぶ丼,460円（税込496.80円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047942/21439C98E48D5E760FF7D32DCF96FB0C.jpg,https://www.sej.co.jp/products/a/item/047942/,507kcal,16.6g,9.3g,91.4g,86.8g,4.6g,3.3g
黒胡椒仕立てのかしわバター丼,618円（税込667.44円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/044436/3AD0F986EFC9A9EB41896C8F3343FDBC.jpg,https://www.sej.co.jp/products/a/item/044436/,656kcal,36.5g,23.3g,75.9g,74.4g,1.5g,3.4g
秋の味覚牛肉きのこ御飯幕の内,598円（税込645.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/044393/88FE4DB8424D2D63577BCC87DCD5A93A.jpg,https://www.sej.co.jp/products/a/item/044393/,589kcal,14.4g,19.6g,91.8g,85.5g,6.3g,3.2g
背徳飯やみつきタルだく唐揚げ丼,598円（税込645.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/044552/F0E4D7244F2433497DEC251BF800D5FD.jpg,https://www.sej.co.jp/products/a/item/044552/,N/A,35.8g,75.0g,111.8g,110.8g,1.0g,4.5g
旨辛チーズタッカルビ丼,580円（税込626.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047943/6ABE209B9CDCE74061E70A24C5EEB9C4.jpg,https://www.sej.co.jp/products/a/item/047943/,690kcal,26.0g,16.8g,112.0g,105.6g,6.4g,3.8g
コク旨だれの炭火焼き牛カルビ弁当,620円（税込669.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047778/527596D8B0112954EC99A01FE8742F0D.jpg,https://www.sej.co.jp/products/a/item/047778/,735kcal,15.7g,23.2g,116.4g,115.3g,1.1g,2.4g
ピリ辛もつ炒め丼,520円（税込561.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/044747/6C8AE34209A4C7D85400197ED7E35F2B.jpg,https://www.sej.co.jp/products/a/item/044747/,574kcal,19.6g,16.0g,89.9g,86.0g,3.9g,2.7g
若鶏のにんにく醤油唐揚げ弁当,598円（税込645.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/041672/C3C062F09C6544B7A9EEAFB92E8A3B52.jpg,https://www.sej.co.jp/products/a/item/041672/,748kcal,35.7g,28.2g,90.0g,85.7g,4.3g,3.3g
ＢＩＧハムとたまご,398円（税込429.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/053215/D025E9723C123A0D301758BF489184C8.jpg,https://www.sej.co.jp/products/a/item/053215/,459kcal,15.2g,27.6g,38.4g,36.4g,2.0g,1.8g
照焼チキンとたまごサンド,320円（税込345.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052979/CAA9CC6BA06696789AC119FF3D2BBD72.jpg,https://www.sej.co.jp/products/a/item/052979/,338kcal,16.3g,18.9g,26.3g,25.1g,1.2g,2.2g
ジューシーハムサンドからしマヨネーズ入り,300円（税込324円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/053042/52F9B897D5F3BD6D7B55204B7DF76CA1.jpg,https://www.sej.co.jp/products/a/item/053042/,349kcal,12.1g,19.9g,31.0g,29.6g,1.4g,1.8g
照焼チキンとたまごのサンド,360円（税込388.80円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052996/0D807367106AD7295D7DA7F32DF68E7E.jpg,https://www.sej.co.jp/products/a/item/052996/,311kcal,16.6g,15.7g,26.6g,25.2g,1.4g,2.3g
半熟卵てりやきバーガー,398円（税込429.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/053225/1FB42BEC1FF21DB41F9061BF94D077DF.jpg,https://www.sej.co.jp/products/a/item/053225/,463kcal,16.8g,26.1g,40.9g,39.6g,1.3g,2.3g
ジューシーハムサンドからしマヨネーズ入り,300円（税込324円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/053092/FD80C4DE7EF0C1AB33C39FFCF1A560C4.jpg,https://www.sej.co.jp/products/a/item/053092/,349kcal,12.1g,19.9g,31.0g,29.6g,1.4g,1.8g
照焼チキンとたまごサンド,320円（税込345.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052975/064A282638168B2426413F639BC42C23.jpg,https://www.sej.co.jp/products/a/item/052975/,338kcal,16.3g,18.9g,26.3g,25.1g,1.2g,2.2g
シャインマスカット入りフルーツミックスサンド,410円（税込442.80円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/053224/3FA78CBCD8D5F77E03722D0B50684D75.jpg,https://www.sej.co.jp/products/a/item/053224/,253kcal,5.0g,10.9g,34.3g,33.0g,1.3g,0.51g
ＢＩＧハムとたまご,398円（税込429.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/053220/FE076ADEA63179B659C1ECF352DF3469.jpg,https://www.sej.co.jp/products/a/item/053220/,460kcal,15.6g,27.6g,38.6g,36.1g,2.5g,1.9g
とんかつサンド,420円（税込453.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/053226/A2B16ABD9A43C39DD8758DA67CDAFC17.jpg,https://www.sej.co.jp/products/a/item/053226/,692kcal,19.8g,36.5g,72.2g,69.7g,2.5g,3.5g
照焼チキンとたまごサンド,320円（税込345.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052978/7EB0596F7182374BE3D1D23599584A5E.jpg,https://www.sej.co.jp/products/a/item/052978/,338kcal,16.3g,18.9g,26.3g,25.1g,1.2g,2.2g
ジューシーハムサンドからしマヨネーズ入り,300円（税込324円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/053095/3FF4BC1534B876067C00C22351D56AFE.jpg,https://www.sej.co.jp/products/a/item/053095/,350kcal,12.1g,19.6g,32.1g,30.4g,1.7g,1.7g
ＢＩＧハムとたまご,398円（税込429.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/053201/3B98390A42673DCC2CDF8B9514288F80.jpg,https://www.sej.co.jp/products/a/item/053201/,459kcal,15.2g,27.6g,38.4g,36.4g,2.0g,1.8g
ローストチキンと野菜のバインミー,398円（税込429.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/053219/657222DCCE59E557FAEBCB0987E42585.jpg,https://www.sej.co.jp/products/a/item/053219/,285kcal,14.8g,6.7g,42.9g,40.0g,2.9g,2.2g
照焼チキンとたまごサンド,320円（税込345.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/053141/2F2F90F1318709BA4A01DF1113C1D997.jpg,https://www.sej.co.jp/products/a/item/053141/,341kcal,16.3g,18.8g,27.2g,26.0g,1.2g,2.2g
揚げパンシュガー,150円（税込162円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303392/C473AF04E114F2CF441FCBB5355EB025.jpg,https://www.sej.co.jp/products/a/item/303392/,378kcal,6.3g,14.4g,56.5g,55.0g,1.5g,1g
７プレミアムふわもちブレッド６枚入,168円（税込181.44円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290224/CF44B3B0821DE3D884A9B5D2DEEFC4A5.jpg,https://www.sej.co.jp/products/a/item/290224/,162kcal,5.5g,2.3g,30.7g,28.7g,2.0g,0.7g
７プレミアムもっちり食パン６枚入,168円（税込181.44円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290586/9D655C41EB7175F4808443B24E108A50.jpg,https://www.sej.co.jp/products/a/item/290586/,161kcal,6.5g,1.7g,30.6g,29.2g,1.4g,0.6g
７ＰＧ金の食パン２枚入,168円（税込181.44円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290514/FCF20F5CD16367CFC0949130C7527FDE.jpg,https://www.sej.co.jp/products/a/item/290514/,261kcal,8.8g,5.3g,45.4g,43.5g,1.9g,1g
タルタルソースのフィッシュバーガー,248円（税込267.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303175/C17676772232710DAEBE277951336B4D.jpg,https://www.sej.co.jp/products/a/item/303175/,525kcal,12.7g,30.2g,52.0g,49.2g,2.8g,2.8g
北海道産ポテトとチーズのパン,220円（税込237.60円）,,https://www.sej.co.jp/products/a/item/303393/,391kcal,8.8g,22.7g,38.9g,36.9g,2.0g,2g
粗挽きポークフランク粒マスタードマヨ使用,200円（税込216円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303220/45497952137246B3B087A6581B5BE9AC.jpg,https://www.sej.co.jp/products/a/item/303220/,401kcal,10.5g,23.7g,37.0g,35.8g,1.2g,2.2g
ランチパック深煎りピーナッツ,159円（税込171.72円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/302970/9632E471DEA28FE2BB5FE60E098498F9.jpg,https://www.sej.co.jp/products/a/item/302970/,182kcal,3.7g,10.0g,19.2g,N/A,N/A,0.3g
７Ｐマーガリン入りレーズンバターロール,148円（税込159.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290163/32357954FC9DE8C2043A04C08BE899DD.jpg,https://www.sej.co.jp/products/a/item/290163/,160kcal,2.3g,8.3g,19.4g,18.7g,0.7g,0.36g
７プレミアム発酵バター香るミニクロワッサン５個入,158円（税込170.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290364/1536B05CCF38DE640D52FDE1671F84BC.jpg,https://www.sej.co.jp/products/a/item/290364/,103kcal,1.5g,6.8g,9.0g,8.7g,0.3g,0.22g
北海道産じゃがいものコロッケパン,178円（税込192.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303270/97B8BDDEF1D7860B345D340D1BB68EB0.jpg,https://www.sej.co.jp/products/a/item/303270/,420kcal,7.1g,20.3g,53.5g,50.8g,2.7g,2g
北海道産じゃがいものコロッケパン,178円（税込192.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303363/56A786BE3D103368D5DBD276B87B966E.jpg,https://www.sej.co.jp/products/a/item/303363/,424kcal,7.2g,20.3g,54.6g,51.8g,2.8g,1.9g
モリヤマメロンのクリームサンド,198円（税込213.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303385/5F1162FAEAE322D9CEE60752D8B7F321.jpg,https://www.sej.co.jp/products/a/item/303385/,390kcal,9.4g,14.0g,57.4g,55.9g,1.5g,0.87g
北海道産大豆のきなこあげぱん,128円（税込138.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303378/841CBB5588A4CBFDDD17904560D0258F.jpg,https://www.sej.co.jp/products/a/item/303378/,363kcal,6.0g,21.3g,37.6g,35.8g,1.8g,0.6g
７プレミアムマーラーカオ４個入,158円（税込170.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290042/D392AA292459B5FEEBB5A8110319FFD0.jpg,https://www.sej.co.jp/products/a/item/290042/,112kcal,2.0g,4.3g,16.3g,16.1g,0.2g,0.2g
チョコ棒,158円（税込170.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303391/330A15E18CDA3A0CAEE0D59B1F233E66.jpg,https://www.sej.co.jp/products/a/item/303391/,330kcal,5.9g,12.0g,50.6g,48.7g,1.9g,0.54g
７Ｐマーガリン入りバターロール４個入,138円（税込149.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290557/632595672A55E4F7795710EB2DE510B4.jpg,https://www.sej.co.jp/products/a/item/290557/,155kcal,2.6g,8.7g,16.8g,16.2g,0.6g,0.37g
７ＰＧ金の食パン４枚入,318円（税込343.44円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290590/125C4883A8D2295CE4F57D100B6808EF.jpg,https://www.sej.co.jp/products/a/item/290590/,261kcal,8.8g,5.3g,45.4g,43.5g,1.9g,1g
パスコ超熟６枚スライス,198円（税込213.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290067/669BEA6EF85014245DAB50D75E2AD434.jpg,https://www.sej.co.jp/products/a/item/290067/,164kcal,4.9g,2.7g,30.5g,N/A,N/A,0.7g
７Ｐマーガリン入り黒糖ロール４個入,138円（税込149.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290105/041205DFF79430BE6C9DB38286FBF276.jpg,https://www.sej.co.jp/products/a/item/290105/,156kcal,2.5g,7.9g,19.1g,18.5g,0.6g,0.29g
７Ｐトリュフマヨツイスト,138円（税込149.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290379/3EA5614616D036177FB3D1DFF8A19D9B.jpg,https://www.sej.co.jp/products/a/item/290379/,389kcal,6.1g,23.0g,40.2g,38.7g,1.5g,1.4g
たっぷりルウの欧風カレ―パン,158円（税込170.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/301617/5DED5E4033447A45AA5D201B2BD306C2.jpg,https://www.sej.co.jp/products/a/item/301617/,312kcal,6.6g,16.0g,36.2g,34.5g,1.7g,1.8g
マロンクリームデニッシュ,198円（税込213.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303380/461CA65FB14A38599F6AAA52D7B151F8.jpg,https://www.sej.co.jp/products/a/item/303380/,253kcal,4.7g,12.2g,32.1g,29.9g,2.2g,0.48g
７ＰＧ金の食パン４枚,318円（税込343.44円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290512/9E630DD2BF7B0EE9A2855A0C37F889CF.jpg,https://www.sej.co.jp/products/a/item/290512/,258kcal,8.2g,5.0g,46.4g,44.0g,2.4g,0.96g
オールドファッション,120円（税込129.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303137/33E0A00C15531F22364F0213D6F5B57B.jpg,https://www.sej.co.jp/products/a/item/303137/,350kcal,3.7g,21.9g,34.8g,34.1g,0.7g,0.43g
こしあんドーナツ,148円（税込159.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/302916/778D6E8DE02C6A0E9BA255D28D857180.jpg,https://www.sej.co.jp/products/a/item/302916/,355kcal,6.2g,14.9g,50.0g,48.0g,2.0g,0.7g
チョコオールドファッション,138円（税込149.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303138/005745758C35C89AE8AF78E182FDB6B0.jpg,https://www.sej.co.jp/products/a/item/303138/,424kcal,3.4g,30.6g,34.3g,33.0g,1.3g,0.35g
ふわふわ食感シフォンケーキ,198円（税込213.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/302516/4D611ECFE399694CA94D3E66283E75AA.jpg,https://www.sej.co.jp/products/a/item/302516/,434kcal,8.2g,15.3g,66.2g,65.4g,0.8g,0.49g
もちもちリングドーナツ,138円（税込149.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303254/77B3CFFCCF9B09C87878B82A0C5E2702.jpg,https://www.sej.co.jp/products/a/item/303254/,305kcal,1.8g,20.1g,29.2g,29.0g,0.2g,0.66g
